,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
478,321888176.6351795,0.0,196961808.8977332,0.001728467316825375,122094886.35989553,0.0,62624166.80646288,0.0,170755786.2304969,0.000978626371718977,321100000.0,879.2186849871166
479,321888176.6351795,0.0,211653554.58725053,0.004898446141151648,122094886.35989553,0.0,62624166.80646288,0.0,183214291.7187333,0.0035843130040061092,321100000.0,2952.644581898909
480,321888176.6351795,0.0,187686220.63591915,0.0007112534304377814,122094886.35989553,0.0,62624166.80646288,0.0,164207236.44060442,0.0005988198829443615,321100000.0,439.6000318041375
481,321888176.6351795,0.0,203326440.98028198,0.003524059384707615,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1073.634562259758
482,321888176.6351795,0.0,211134062.98564124,0.005251440281631253,122094886.35989553,0.0,62624166.80646288,0.0,255585713.2060979,0.01818377676165355,321100000.0,9305.315851564535
483,321888176.6351795,0.0,189242290.53862777,0.0008529428182897321,122094886.35989553,0.0,62624166.80646288,0.0,187892595.54550755,0.00442536886634867,321100000.0,1915.791661286405
484,321888176.6351795,0.0,194024021.14679387,0.0019503195726281943,122094886.35989553,0.0,62624166.80646288,0.0,169182796.27463147,0.0016101267649319892,321100000.0,1192.368370057783
485,321888176.6351795,0.0,191675658.2306969,0.0013830485789296163,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,412.5459985641203
486,321888176.6351795,0.0,189698845.65245172,0.0010352304950976764,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,307.28987349795545
487,321888176.6351795,0.0,185820567.71417853,0.00034868214553363127,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,101.6197319831961
488,321888176.6351795,0.0,196844580.9294435,0.0013698451556668028,122094886.35989553,0.0,62624166.80646288,0.0,202235355.47266358,0.00416075555787598,321100000.0,1988.6648962519505
489,321888176.6351795,0.0,362149059.42890936,0.030603760686023416,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,10488.970917463728
490,321888176.6351795,0.0,203275281.66023013,0.00350575762453173,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1071.6145141954687
491,321888176.6351795,0.0,366119078.5410268,0.023669944532752736,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,7940.722588351409
492,321888176.6351795,0.0,602510810.6418474,0.05931986629893113,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,21534.83294748013
493,321888176.6351795,0.0,184416798.40378657,3.1868900393399705e-05,122094886.35989553,0.0,62624166.80646288,0.0,165750777.70940349,0.0007626808356330515,321100000.0,285.72104760438384
494,321888176.6351795,0.0,193908310.99192455,0.0017002945903825206,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,514.3204641590803
495,321888176.6351795,0.0,202365217.35594162,0.0019687094368860186,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,591.2523634217423
496,321888176.6351795,0.0,688179275.1216854,0.0712793533260931,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,26405.488736628187
497,321888176.6351795,0.0,186655754.86323485,0.00034761766010067013,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,101.50223991043086
498,321888176.6351795,0.0,186131485.22696856,0.00033629693593108327,122094886.35989553,0.0,62624166.80646288,0.0,175521646.42092192,0.0023839913852809792,321100000.0,986.9446040706109
499,321888176.6351795,0.0,242235120.52261883,0.009716858765888903,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,3138.752058717287
