,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
436,17,73.72003282305874,1.0,0.07759506355519478,53.52797811655621,1.0,0.5715537195396545,68.40755781411272,1.5,0.11269204796259169,296.89100511355576,1.0,0.3408819554981967,77.39066282297718,1.0,0.93534074936441,3.5,4.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,46,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100771305.59125288,0.0006774635281800408,36825203.4142748,0.00012036109209756858,173286182.40483302,0.0,1149100000.0,0.0
437,35,264.3650156111564,1.0,0.7561282736709728,161.12049678764524,1.5,0.8228752589507088,197.7425461160664,1.5,0.9893114638695896,339.30025690047614,1.5,0.8456652721040252,228.18141411551895,1.5,0.9472583975678597,4.5,3.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,47,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
438,100,337.5905136323562,1.5,0.6210263464492326,140.6125973779886,1.0,0.5116244799966847,256.5782718801931,10.0,0.3538013312911875,115.86133106208143,1.0,0.2708929492346338,221.05195220208526,10.0,0.1893770589283175,1.5,1.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,48,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,37425369.041129924,0.00029983630201594886,173286182.40483302,0.0,1149100000.0,0.0
439,131,231.51578873938718,1.5,0.6470528235403744,113.47588219894256,10.0,0.06800677145676226,150.31582340279272,10.0,0.37283238691111015,314.6089665442474,10.0,0.9959683966470567,251.0132975922586,1.0,0.8988519036084196,3.5,4.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,49,8,dikesnet,237161696.09891078,0.0,126341745.40976587,0.004433286446971902,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
440,96,129.59293717486474,1.5,0.14697907311175948,130.90064710128715,1.5,0.36515028314404846,54.70369442151035,1.0,0.13489756502284467,103.12041157055958,1.5,0.1165503758779342,342.98573981295414,10.0,0.9074995591989404,4.5,2.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,50,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100716749.46081701,0.0006878109245127304,41094518.388234995,0.0027203299209994,173286182.40483302,0.0,1149100000.0,0.0
441,70,217.7886539692384,10.0,0.2270141298978588,217.96120379076254,1.5,0.08080562739742658,168.77990407418275,1.5,0.06407142670189046,248.37403186879737,10.0,0.164378369817201,295.1079880564028,10.0,0.801556240060007,2.5,2.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,51,8,dikesnet,237161696.09891078,0.0,127315496.74361408,0.004434793896622803,108979584.47537538,0.014290626789570902,40390281.48784743,0.0017696868207123532,173286182.40483302,0.0,1149100000.0,0.0
442,7,318.14374008826474,1.0,0.8481764742626492,245.15620198452257,1.5,0.029482246273619714,42.26851664851709,1.5,0.7012440546010756,129.85454005351957,1.5,0.6271652681909651,38.45623680815562,10.0,0.3553529697006439,3.5,2.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,52,8,dikesnet,237161696.09891078,0.0,129564730.54628298,0.00803972748314224,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
443,77,248.966641646103,1.0,0.9748842304360864,150.86398753536085,1.5,0.861077786503666,264.17137026623175,1.5,0.5414583159696078,152.3461417678131,1.0,0.947355831939825,335.49443670461307,1.0,0.5207704955097093,3.5,2.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,53,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
444,88,332.2592742926719,10.0,0.5858985463957691,78.42664422014326,10.0,0.4223679686859283,242.26672815661124,1.0,0.8700373224158484,216.16897850893486,1.0,0.4941005104734163,92.50439781116333,1.5,0.6863429536408987,3.5,3.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,54,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
445,43,202.67482681854096,1.5,0.8733821820471229,338.2503025268321,1.5,0.461371752311605,214.41238080631436,10.0,0.5320107058999013,319.8461827466514,1.5,0.8040308294071394,197.40570794252804,1.0,0.853517823416407,1.5,1.5,3.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,55,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
446,19,326.9533795080289,1.5,0.13705120137627674,213.0509513948924,1.0,0.019013598076636298,183.11805365896848,1.5,0.920658932788621,149.2088354847138,10.0,0.20274609528596435,323.07237743460627,10.0,0.5190072419009935,2.5,4.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,56,8,dikesnet,237161696.09891078,0.0,133687311.75738844,0.010020221193606182,100455669.33672759,0.0,36833021.559603274,0.0001546283622539615,173286182.40483302,0.0,1149100000.0,0.0
447,91,55.81847050005062,1.5,0.4793315590330921,253.53502191198504,1.0,0.8155035211534639,115.74238829843294,1.5,0.46953610899426534,165.74341786520267,10.0,0.46829343574658067,95.36661015238771,10.0,0.7289326350111811,2.5,1.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,57,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36701265.76128051,3.370245062410343e-05,173286182.40483302,0.0,1149100000.0,0.0
448,52,100.35125905869168,1.0,0.68496901980084,63.29225460235673,1.0,0.6528473739595543,336.3959495870807,10.0,0.7870869539635159,213.95944743544462,1.5,0.568574906901181,302.0277556923367,1.5,0.22271509807197604,3.5,1.5,3.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,58,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
449,107,292.8233082951824,1.0,0.7795481054539407,266.0182829264403,10.0,0.15560863306960748,176.22074019371556,1.0,0.6110666215794633,89.84305450027344,1.5,0.038805347253349734,100.6222936689315,10.0,0.9930944036001035,3.5,3.5,3.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,59,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,49735144.42521862,0.006991298865104557,173286182.40483302,0.0,1149100000.0,0.0
450,4,271.16521829144165,10.0,0.11473428543727024,296.9252820297249,1.0,0.11984693776646135,217.20900245487013,1.5,0.012233611245295366,232.38294716257604,10.0,0.005590642457458701,69.65577628045828,1.0,0.6605629796662257,4.5,2.5,1.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,10,9,dikesnet,321888176.6351795,0.0,263270773.89450055,0.01357457520612883,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,4477.141242668464
