,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
30,9,86.41988293765166,10.0,0.38497389991013997,128.56416943766033,1.0,0.5762430874553609,55.19410487677166,10.0,0.8662075936609085,270.8280729909066,10.0,0.008558209694869794,128.8202835917276,1.0,0.5295667464342011,3.5,1.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,40,0,dikesnet,177198159.8683943,0.0,201879490.90506148,0.00028117813970889016,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,132.01172324439784
31,91,298.01263849937243,1.0,0.923118917405063,32.698438260982634,1.0,0.27982594160207275,87.06983676967644,1.0,0.9851775761962243,342.6001448468514,1.0,0.3368437477761092,111.39970873403067,1.5,0.497652203065127,1.5,3.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,41,0,dikesnet,177198159.8683943,0.0,220531508.15451255,0.0017436833023378125,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,844.2390315734758
32,70,252.80435657417027,1.5,0.9065091680645558,36.94375964255924,10.0,0.7865833529990816,304.76862454632635,1.5,0.9515041441784801,91.15567340069944,1.0,0.04934398006199331,143.76848680843327,10.0,0.19909592836553677,4.5,3.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,42,0,dikesnet,177198159.8683943,0.0,200807370.84604648,0.00016251255231400347,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,74.0750955115041
33,89,333.57911690606215,10.0,0.9478168149566146,54.76406621342474,1.5,0.5923015760155342,100.05926031061081,1.5,0.10383849895107608,310.72537676951106,1.5,0.8016499729014381,259.37384286361333,1.0,0.8681514212322222,1.5,2.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,43,0,dikesnet,177198159.8683943,0.0,206752135.67680982,0.0005973778799040787,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,278.3782228478729
34,56,139.10306096499028,1.0,0.4522124890639131,88.3286472717109,10.0,0.5168642151037453,120.75505213433925,10.0,0.6372388619153821,208.9100575673935,1.0,0.9857939307891092,113.88656075482058,1.0,0.6120605581886878,3.5,3.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,44,0,dikesnet,177198159.8683943,0.0,204108919.63153327,0.0005993149933312559,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,278.71025405158866
35,35,345.8118794493543,10.0,0.14431770625830798,267.68477878087293,1.0,0.20168750012790185,343.52846378111474,1.5,0.5911443130281913,217.01443045244963,10.0,0.16725611002763052,170.0638624476733,10.0,0.2034588893906482,4.5,4.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,45,0,dikesnet,177198159.8683943,0.0,217067512.92611378,0.002836491812025152,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,1403.4947637591217
36,82,284.291399747929,10.0,0.3347983125426399,165.75054507577735,1.0,0.8639436216887092,182.45386707066908,1.0,0.9675102055589688,275.9220948595722,1.5,0.3009016378713341,58.4944748651984,1.5,0.25572513621777315,3.5,3.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,46,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
37,18,43.727973172721214,1.0,0.7689996655139166,113.47657139445936,1.5,0.3921029642520518,64.13154562344334,10.0,0.5687714489577399,36.8611308506136,1.0,0.9340358475020516,187.15515164017904,1.0,0.881501603812723,2.5,1.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,47,0,dikesnet,177198159.8683943,0.0,208396938.07691038,0.0009458472749909469,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,449.5939484734233
38,45,210.17307651029017,1.0,0.7345417738852305,215.76876889520608,1.0,0.3103579602702053,195.07940371705743,1.5,0.41065519930020056,319.60196960189995,10.0,0.29874263856978167,85.80855842456684,10.0,0.43347182866959766,3.5,3.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,48,0,dikesnet,177198159.8683943,0.0,210519685.29244363,0.0014716567726873143,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,706.7175787371593
39,48,342.2632391911656,1.5,0.6870064032531064,176.76931419118702,1.0,0.19353215228511686,58.17597221753577,10.0,0.4930612983433664,131.22382824806746,1.0,0.6395652717809567,149.0582991612772,1.0,0.997492394493723,1.5,4.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,49,0,dikesnet,177198159.8683943,0.0,228292828.50401446,0.002334794329602106,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,1173.4578807920432
